city,lat,lng,country,iso2,admin,capital,population,population_proper
Oslo,59.916667,10.75,Norway,NO,Oslo,primary,835000,580000
Bergen,60.391111,5.324722,Norway,NO,Hordaland,admin,213585,187194
Stavanger,58.966667,5.75,Norway,NO,Rogaland,admin,173132,100866
Trondheim,63.416667,10.416667,Norway,NO,Sør-Trøndelag,admin,147139,141533
Drammen,59.7425,10.211667,Norway,NO,Buskerud,admin,90722,80153
Skyer,59.2,9.683333,Norway,NO,Telemark,,73330,73330
Kristiansand,58.166667,8.0,Norway,NO,Vest-Agder,admin,63814,52770
Tomasjorda,69.666667,19.016667,Norway,NO,Troms,,52436,45365
Ålesund,62.47276,6.15346,Norway,NO,Møre og Romsdal,minor,47772,42982
Sandnes,58.85,5.733333,Norway,NO,Rogaland,minor,46911,46911
Haugesund,59.411944,5.2775,Norway,NO,Rogaland,minor,40321,32118
Tønsberg,59.285833,10.418056,Norway,NO,Vestfold,admin,38914,38914
Moss,59.436667,10.669167,Norway,NO,Østfold,minor,36901,34492
Bodø,67.283333,14.383333,Norway,NO,Nordland,admin,34073,28694
Arendal,58.460278,8.766667,Norway,NO,Aust-Agder,admin,30916,30916
Hamar,60.8,11.1,Norway,NO,Hedmark,admin,29479,29479
Gjøvik,60.8,10.7,Norway,NO,Oppland,minor,22719,17596
Mo i Rana,66.316667,14.166667,Norway,NO,Nordland,minor,20409,17853
Narvik,68.435556,17.437222,Norway,NO,Nordland,minor,20000,18473
Lillehammer,61.133333,10.5,Norway,NO,Oppland,admin,19542,19096
Harstad,68.8025,16.545556,Norway,NO,Troms,minor,19433,18973
Molde,62.733333,7.183333,Norway,NO,Møre og Romsdal,admin,18594,13749
Alta,69.966667,23.241667,Norway,NO,Finnmark,minor,12077,12077
Steinkjer,64.016667,11.5,Norway,NO,Nord-Trøndelag,admin,11274,11113
Hammerfest,70.661667,23.688333,Norway,NO,Finnmark,minor,10000,9934
Namsos,64.483333,11.5,Norway,NO,Nord-Trøndelag,minor,9035,9035
Vossevangen,60.633333,6.433333,Norway,NO,Hordaland,,5571,5571
Vadsø,70.073056,29.769722,Norway,NO,Finnmark,admin,5139,5139
Svolvær,68.233333,14.566667,Norway,NO,Nordland,minor,4197,4197
Finnsnes,69.233333,17.983333,Norway,NO,Troms,minor,3907,3315
Kirkenes,69.725,30.051667,Norway,NO,Finnmark,minor,3282,2174
Rørvik,64.85,11.233333,Norway,NO,Nord-Trøndelag,minor,2615,2615
Hermansverk,61.183333,6.85,Norway,NO,Sogn og Fjordane,admin,1965,1965
Skogsvåg,60.25559,5.10167,Norway,NO,Hordaland,minor,,
Noresund,60.166667,9.616667,Norway,NO,Buskerud,minor,,
Sandnessjøen,66.016667,12.633333,Norway,NO,Nordland,minor,,
Hansnes,69.966667,19.6,Norway,NO,Troms,minor,,
Råde,59.35,10.85,Norway,NO,Østfold,minor,,
Tingvoll,62.913056,8.205556,Norway,NO,Møre og Romsdal,minor,,
Årdalstangen,61.233333,7.716667,Norway,NO,Sogn og Fjordane,minor,,
Rosendal,59.983333,6.016667,Norway,NO,Hordaland,minor,,
Batnfjordsøra,62.883333,7.7,Norway,NO,Møre og Romsdal,minor,,
Namdalseid,64.22287,11.22102,Norway,NO,Nord-Trøndelag,minor,,
Jaren,60.383333,10.55,Norway,NO,Oppland,minor,,
Hov,60.7,10.35,Norway,NO,Oppland,minor,,
Kragerø,58.866667,9.416667,Norway,NO,Telemark,minor,,
Stranda,62.316667,6.9,Norway,NO,Møre og Romsdal,minor,,
Gratangen,68.65,17.683333,Norway,NO,Troms,minor,,
Valldal,62.333333,7.35,Norway,NO,Møre og Romsdal,minor,,
Ulefoss,59.283333,9.266667,Norway,NO,Telemark,minor,,
Våler,60.666667,11.833333,Norway,NO,Hedmark,minor,,
Drøbak,59.663333,10.631111,Norway,NO,Akershus,minor,,
Hokksund,59.77187,9.88385,Norway,NO,Buskerud,minor,,
Lurøy,66.417,12.84472,Norway,NO,Nordland,minor,,
Vik,65.3,12.15,Norway,NO,Nordland,minor,,
Tysse,60.370833,5.756111,Norway,NO,Hordaland,minor,,
Kleppe,58.766667,5.666667,Norway,NO,Rogaland,minor,,
Skjåk,61.88105,8.36928,Norway,NO,Oppland,minor,,
Vågå,61.86877,9.12332,Norway,NO,Oppland,minor,,
Åseral,58.616667,7.416667,Norway,NO,Vest-Agder,minor,,
Langesund,59.0,9.75,Norway,NO,Telemark,minor,,
Sørumsand,59.966667,11.25,Norway,NO,Akershus,minor,,
Randaberg,59.0,5.6,Norway,NO,Rogaland,minor,,
Treungen,59.033333,8.55,Norway,NO,Telemark,minor,,
Ølen,59.603611,5.8075,Norway,NO,Rogaland,minor,,
Sykkylven,62.39723,6.58321,Norway,NO,Møre og Romsdal,minor,,
Ål,60.633333,8.566667,Norway,NO,Buskerud,minor,,
Kongsberg,59.65,9.65,Norway,NO,Buskerud,minor,,
Ski,59.716667,10.833333,Norway,NO,Akershus,minor,,
Dale,60.583333,5.816667,Norway,NO,Hordaland,minor,,
Lyngdal,58.133333,7.083333,Norway,NO,Vest-Agder,minor,,
Kongsvinger,60.2,12.0,Norway,NO,Hedmark,minor,,
Brøstadbotn,69.079444,17.701389,Norway,NO,Troms,minor,,
Sør-Fron,61.566667,9.933333,Norway,NO,Oppland,minor,,
Oppdal,62.6,9.666667,Norway,NO,Sør-Trøndelag,minor,,
Bjørkelangen,59.883333,11.566667,Norway,NO,Akershus,minor,,
Alvdal,62.116667,10.65,Norway,NO,Hedmark,minor,,
Brekstad,63.683333,9.683333,Norway,NO,Sør-Trøndelag,minor,,
Iveland,58.44727,7.91631,Norway,NO,Aust-Agder,minor,,
Storslett,69.766667,21.016667,Norway,NO,Troms,minor,,
Søgne,58.083333,7.816667,Norway,NO,Vest-Agder,minor,,
Rena,61.133333,11.366667,Norway,NO,Hedmark,minor,,
Evje,58.6,7.85,Norway,NO,Aust-Agder,minor,,
Brønnøysund,65.466667,12.216667,Norway,NO,Nordland,minor,,
Selbu,63.21654,11.03954,Norway,NO,Sør-Trøndelag,minor,,
Nesna,66.2,13.033333,Norway,NO,Nordland,minor,,
Nannestad,60.212364,11.004408,Norway,NO,Akershus,minor,,
Andenes,69.320278,16.142778,Norway,NO,Nordland,minor,,
Borkenes,68.783333,16.183333,Norway,NO,Troms,minor,,
Bremnes,59.795278,5.175278,Norway,NO,Hordaland,minor,,
Jevnaker,60.25,10.466667,Norway,NO,Oppland,minor,,
Bruflat,60.883333,9.616667,Norway,NO,Oppland,minor,,
Stokmarknes,68.561944,14.908611,Norway,NO,Nordland,minor,,
Kjøllefjord,70.933333,27.35,Norway,NO,Finnmark,minor,,
Røyrvik,64.883333,13.55,Norway,NO,Nord-Trøndelag,minor,,
Fiskå,62.09988,5.55656,Norway,NO,Møre og Romsdal,minor,,
Rognan,67.1,15.383333,Norway,NO,Nordland,minor,,
Hommelvik,63.416667,10.8,Norway,NO,Sør-Trøndelag,minor,,
Volda,62.15,6.1,Norway,NO,Møre og Romsdal,minor,,
Alstad,63.58519,10.73769,Norway,NO,Nord-Trøndelag,minor,,
Valderhaug,62.49853,6.12775,Norway,NO,Møre og Romsdal,minor,,
Surnadal,62.97544,8.72457,Norway,NO,Møre og Romsdal,minor,,
Hauge,58.35,6.283333,Norway,NO,Rogaland,minor,,
Bø,59.416667,9.066667,Norway,NO,Telemark,minor,,
Gryllefjord,69.366667,17.016667,Norway,NO,Troms,minor,,
Kopervik,59.283333,5.3,Norway,NO,Rogaland,minor,,
Gjerstad,58.866667,9.0,Norway,NO,Aust-Agder,minor,,
Leksvik,63.67267,10.62948,Norway,NO,Nord-Trøndelag,minor,,
Kvalsund,70.5025,23.988056,Norway,NO,Finnmark,minor,,
Ås,63.05,11.65,Norway,NO,Sør-Trøndelag,minor,,
Reine,67.93372,13.08914,Norway,NO,Nordland,minor,,
Brattvåg,62.6,6.45,Norway,NO,Møre og Romsdal,minor,,
Støren,63.03718,10.28558,Norway,NO,Sør-Trøndelag,minor,,
Meldal,63.04613,9.71033,Norway,NO,Sør-Trøndelag,minor,,
Larsnes,62.216667,5.6,Norway,NO,Møre og Romsdal,minor,,
Lena,60.666667,10.8,Norway,NO,Oppland,minor,,
Sørland,67.666667,12.7,Norway,NO,Nordland,minor,,
Steinshamn,62.783333,6.483333,Norway,NO,Møre og Romsdal,minor,,
Skjervøy,70.033333,20.983333,Norway,NO,Troms,minor,,
Skarnes,60.25,11.683333,Norway,NO,Hedmark,minor,,
Dokka,60.833333,10.083333,Norway,NO,Oppland,minor,,
Masfjordnes,60.8,5.3,Norway,NO,Hordaland,minor,,
Kvinesdal,58.316667,6.95,Norway,NO,Vest-Agder,minor,,
Bruhagen,63.05332,7.63226,Norway,NO,Møre og Romsdal,minor,,
Isdalstø,60.555556,5.269167,Norway,NO,Hordaland,minor,,
Falkhytta,62.80578,6.88576,Norway,NO,Møre og Romsdal,minor,,
Flekkefjord,58.283333,6.683333,Norway,NO,Vest-Agder,minor,,
Kolvereid,64.85,11.6,Norway,NO,Nord-Trøndelag,minor,,
Øksfjord,70.239167,22.371389,Norway,NO,Finnmark,minor,,
Oteren,69.255384,19.881581,Norway,NO,Troms,minor,,
Honningsvåg,70.983333,25.983333,Norway,NO,Finnmark,minor,,
Sunndalsøra,62.666667,8.55,Norway,NO,Møre og Romsdal,minor,,
Tynset,62.283333,10.783333,Norway,NO,Hedmark,minor,,
Granvin,60.55,6.716667,Norway,NO,Hordaland,minor,,
Sørreisa,69.138732,18.17983,Norway,NO,Troms,minor,,
Årnes,63.966667,10.233333,Norway,NO,Sør-Trøndelag,minor,,
Hareid,62.366667,6.033333,Norway,NO,Møre og Romsdal,minor,,
Tromsø,69.666667,18.966667,Norway,NO,Troms,admin,,
Terråk,65.083333,12.416667,Norway,NO,Nordland,minor,,
Lom,61.833333,8.55,Norway,NO,Oppland,minor,,
Trysil,61.316667,12.266667,Norway,NO,Hedmark,minor,,
Bardu,68.86563,18.34735,Norway,NO,Troms,minor,,
Bogen,68.52619,16.9945,Norway,NO,Nordland,minor,,
Rong,60.513333,4.903333,Norway,NO,Hordaland,minor,,
Burfjord,69.933333,22.05,Norway,NO,Troms,minor,,
Koppang,61.566667,11.066667,Norway,NO,Hedmark,minor,,
Eidsvåg,62.781944,8.071111,Norway,NO,Møre og Romsdal,minor,,
Eidsvoll,60.316667,11.233333,Norway,NO,Akershus,minor,,
Sagstua,60.38846,11.53763,Norway,NO,Hedmark,minor,,
Flå,60.416667,9.466667,Norway,NO,Buskerud,minor,,
Rjukan,59.883333,8.6,Norway,NO,Telemark,minor,,
Sveio,59.544722,5.349167,Norway,NO,Hordaland,minor,,
Karasjok,69.45,25.5,Norway,NO,Finnmark,minor,,
Vikevåg,59.098056,5.698056,Norway,NO,Rogaland,minor,,
Vågaholmen,66.70914,13.2693,Norway,NO,Nordland,minor,,
Ramberg,68.083333,13.233333,Norway,NO,Nordland,minor,,
Hamnvik,68.783333,17.183333,Norway,NO,Troms,minor,,
Midsund,62.683333,6.683333,Norway,NO,Møre og Romsdal,minor,,
Skien,59.2,9.6,Norway,NO,Telemark,admin,,
Enebakk,59.756127,11.136371,Norway,NO,Akershus,minor,,
Birkeland,58.333333,8.233333,Norway,NO,Aust-Agder,minor,,
Flisa,60.60781,12.05206,Norway,NO,Hedmark,minor,,
Raufoss,60.716667,10.616667,Norway,NO,Oppland,minor,,
Ørnes,66.866667,13.7,Norway,NO,Nordland,minor,,
Krokstadøra,63.4,9.5,Norway,NO,Sør-Trøndelag,minor,,
Olderdalen,69.616667,20.533333,Norway,NO,Troms,minor,,
Eivinvik,60.983333,5.066667,Norway,NO,Sogn og Fjordane,minor,,
Høyanger,61.216667,6.083333,Norway,NO,Sogn og Fjordane,minor,,
Manger,60.641667,5.039167,Norway,NO,Hordaland,minor,,
Balestrand,61.2,6.533333,Norway,NO,Sogn og Fjordane,minor,,
Liabøen,63.116667,8.3,Norway,NO,Møre og Romsdal,minor,,
Inndyr,67.033333,14.033333,Norway,NO,Nordland,minor,,
Breivikbotn,70.592644,22.297676,Norway,NO,Finnmark,minor,,
Tana Bru,70.20238,28.17331,Norway,NO,Finnmark,minor,,
Hemsedal,60.866667,8.566667,Norway,NO,Buskerud,minor,,
Rømskog,59.712676,11.841647,Norway,NO,Østfold,minor,,
Dale,61.366667,5.416667,Norway,NO,Sogn og Fjordane,minor,,
Røyken,59.7475,10.393611,Norway,NO,Buskerud,minor,,
Bryne,58.733333,5.65,Norway,NO,Rogaland,minor,,
Os,62.5,11.2,Norway,NO,Hedmark,minor,,
Hol,60.62003,8.297178,Norway,NO,Buskerud,minor,,
Rygge,59.383333,10.716667,Norway,NO,Østfold,minor,,
Verdal,63.8,11.483333,Norway,NO,Nord-Trøndelag,minor,,
Lyngseidet,69.583333,20.216667,Norway,NO,Troms,minor,,
Mandal,58.033333,7.45,Norway,NO,Vest-Agder,minor,,
Sætre,59.681667,10.524722,Norway,NO,Buskerud,minor,,
Utsira,59.3,4.9,Norway,NO,Rogaland,minor,,
Fagernes,60.983333,9.25,Norway,NO,Oppland,minor,,
Sandane,61.766667,6.216667,Norway,NO,Sogn og Fjordane,minor,,
Heggenes,61.15,9.083333,Norway,NO,Oppland,minor,,
Odda,60.066667,6.55,Norway,NO,Hordaland,minor,,
Fetsund,59.933333,11.166667,Norway,NO,Akershus,minor,,
Naustdal,61.516667,5.716667,Norway,NO,Sogn og Fjordane,minor,,
Rissa,63.58324,9.95911,Norway,NO,Sør-Trøndelag,minor,,
Våler,59.487374,10.852732,Norway,NO,Østfold,minor,,
Hobøl,59.598415,10.942048,Norway,NO,Østfold,minor,,
Elnesvågen,62.85382,7.15363,Norway,NO,Møre og Romsdal,minor,,
Frekhaug,60.517222,5.246111,Norway,NO,Hordaland,minor,,
Straumen,67.35,15.6,Norway,NO,Nordland,minor,,
Tvedestrand,58.624444,8.928611,Norway,NO,Aust-Agder,minor,,
Ålen,62.85,11.283333,Norway,NO,Sør-Trøndelag,minor,,
Fauske,67.25,15.4,Norway,NO,Nordland,minor,,
Grong,64.45,12.333333,Norway,NO,Nord-Trøndelag,minor,,
Sjøvegan,68.873333,17.864444,Norway,NO,Troms,minor,,
Høylandet,64.62775,12.29996,Norway,NO,Nord-Trøndelag,minor,,
Kyrksæterøra,63.283333,9.1,Norway,NO,Sør-Trøndelag,minor,,
Judaberg,59.183333,5.85,Norway,NO,Rogaland,minor,,
Norheimsund,60.366667,6.133333,Norway,NO,Hordaland,minor,,
Ulvik,60.566667,6.9,Norway,NO,Hordaland,minor,,
Berlevåg,70.85,29.1,Norway,NO,Finnmark,minor,,
Østre Gausdal,61.25812,10.15394,Norway,NO,Oppland,minor,,
Ålgård,58.766667,5.85,Norway,NO,Rogaland,minor,,
Orkanger,63.316667,9.866667,Norway,NO,Sør-Trøndelag,minor,,
Ørje,59.483333,11.65,Norway,NO,Østfold,minor,,
Førde,61.45,5.866667,Norway,NO,Sogn og Fjordane,minor,,
Årnes,60.15,11.466667,Norway,NO,Akershus,minor,,
Vestby,59.6,10.75,Norway,NO,Akershus,minor,,
Otta,61.766667,9.533333,Norway,NO,Oppland,minor,,
Røyse,60.07685,10.19652,Norway,NO,Buskerud,minor,,
Rødberg,60.27107,8.95367,Norway,NO,Buskerud,minor,,
Lampeland,59.83422,9.57586,Norway,NO,Buskerud,minor,,
Vang,61.12448,8.57399,Norway,NO,Oppland,minor,,
Lauvsnes,64.5,10.916667,Norway,NO,Nord-Trøndelag,minor,,
Aurlandsvangen,60.90626,7.18635,Norway,NO,Sogn og Fjordane,minor,,
Gaupne,61.40481,7.29415,Norway,NO,Sogn og Fjordane,minor,,
Korgen,66.083333,13.833333,Norway,NO,Nordland,minor,,
Spydeberg,59.6,11.083333,Norway,NO,Østfold,minor,,
Asker,59.833333,10.433333,Norway,NO,Akershus,minor,,
Namsskogan,64.916667,13.166667,Norway,NO,Nord-Trøndelag,minor,,
Mosjøen,65.833333,13.2,Norway,NO,Nordland,minor,,
Fredrikstad,59.216667,10.95,Norway,NO,Østfold,minor,,
Grimstad,58.340556,8.588611,Norway,NO,Aust-Agder,minor,,
Langevåg,62.44342,6.18836,Norway,NO,Møre og Romsdal,minor,,
Mjøndalen,59.75,10.016667,Norway,NO,Buskerud,minor,,
Fillan,63.6,8.983333,Norway,NO,Sør-Trøndelag,minor,,
Uggdal,60.008889,5.512222,Norway,NO,Hordaland,minor,,
Dovre,61.983333,9.25,Norway,NO,Oppland,minor,,
Drangedal,59.1,9.066667,Norway,NO,Telemark,minor,,
Malm,64.066667,11.216667,Norway,NO,Nord-Trøndelag,minor,,
Stordal,62.38203,6.98608,Norway,NO,Møre og Romsdal,minor,,
Leknes,65.1,11.7,Norway,NO,Nord-Trøndelag,minor,,
Varhaug,58.616667,5.65,Norway,NO,Rogaland,minor,,
Konsmo,58.3,7.4,Norway,NO,Vest-Agder,minor,,
Mo,60.816667,5.8,Norway,NO,Hordaland,minor,,
Bagn,60.816667,9.566667,Norway,NO,Oppland,minor,,
Kirkenær,60.466667,12.05,Norway,NO,Hedmark,minor,,
Ringebu,61.516667,10.166667,Norway,NO,Oppland,minor,,
Øyer,61.26715,10.42444,Norway,NO,Oppland,minor,,
Straume,60.35578,5.1196,Norway,NO,Hordaland,minor,,
Austrheim,60.76443,4.91349,Norway,NO,Hordaland,minor,,
Kinsarvik,60.37583,6.72593,Norway,NO,Hordaland,minor,,
Voss,60.63182,6.41669,Norway,NO,Hordaland,minor,,
Stord,59.77384,5.49028,Norway,NO,Hordaland,minor,,
Os,60.18346,5.46663,Norway,NO,Hordaland,minor,,
Slidre,61.08825,8.98076,Norway,NO,Oppland,minor,,
Eikelandsosen,60.239444,5.753889,Norway,NO,Hordaland,minor,,
Lesja,62.12123,8.8457,Norway,NO,Oppland,minor,,
Ørskog,62.47886,6.81155,Norway,NO,Møre og Romsdal,minor,,
